Category,Label,Originated_By,Source,Text
indian news,1,the hindu,the hindu,andhra pradesh trader couple proddatur go miss ahobilam kurnool
politics war economy health etc ,0,amy kremer,poltifact,sen saxby chambliss vote democrat conservative
politics war economy health etc ,0,facebook posts,poltifact,cdc recommend mail voting whole pandemic election
politics war economy health etc ,0,donald trump,poltifact,say one give nickname mad dog former defense secretary james mattis
politics war economy health etc ,1,jeff merkley,poltifact,say allow payroll tax holiday expire would end cost another estimate 900 000 job 2012
politics war economy health etc ,1,wayne thorburn,poltifact,nearly 90 travis county government race settle time democratic primary
politics war economy health etc ,1,our oregon,poltifact,say lose one voter every 13 minute
indian fake news,0,times of india,times of india,fake alert photo sex racket gang share hindu terrorist caught allahabad
politics war economy health etc ,0,rick perry,poltifact,say texas public school funding grow three time rate enrollment 2002 2012
politics war economy health etc ,0,newt gingrich,poltifact,obama administration issue instruction terrorism training involve reference islam
asian news,1,bbc,bbc,indian think woman make well politician indian accept woman leader favour traditional gender role family say new pew survey
technology news,1,bbc,bbc,hologram may soon replace video call coronavirus pandemic travel ban accelerate interest holographic communication
politics war economy health etc ,1,hillary clinton,poltifact,american raise 15 year
covid19 news,1,bbc,bbc,resort see spectacular covid bounceback record visitor number total vindication 1m spent marketing blackpool council say
politics war economy health etc ,0,jake laturner,poltifact,keystone xl pipeline would produce 830 000 barrel oil per day enough offset import russia
politics war economy health etc ,0,mark harris,poltifact,liberal democrat back dan mccready cut 716 billion medicare fund healthcare scheme obamacare
climate news,1,bbc,bbc,madagascar minister seek real engagement big polluter
politics war economy health etc ,1,doonesbury,poltifact,economy bleed 24 billion due government shutdown
indian news,1,the hindu,the hindu,pandemic impact power consumption pattern kerala show data domestic use go reveals economic review data
business news,1,bbc,bbc,toyota profit fall chip shortage hit carmaker
politics war economy health etc ,0,donald trump,poltifact,say democratic presidential candidate support give illegal immigrant free health care expense
covid19 news,1,bbc,bbc,covid infection rise across uk ons form omicron call ba common variant uk figure suggest
politics war economy health etc ,0,david jolly,poltifact,kathleen peter refuse take stand repeal obamacare
politics war economy health etc ,0,donald trump,poltifact,back nato thing terrorism
covid19 news,1,bbc,bbc,common sense cut classroom door curb covid nicola sturgeon defends plan cut bottom classroom door improve air flow
politics war economy health etc ,0,bryan hughes,poltifact,david simpson actually vote driver license illegal immigrant
politics war economy health etc ,0,sergey lavrov,poltifact,congress special group people 80 percent never left united state
politics war economy health etc ,0,john cornyn,poltifact,say democratic senator miss mask huddle close together judiciary committee hearing amy coney barrett
politics war economy health etc ,1,mike lee,poltifact,say union call obamacare bad worker
climate news,1,bbc,bbc,climate group gas exploration concern raise extension firm licence search gas manx coast
politics war economy health etc ,0,youtube videos,poltifact,200 coronavirus relief check year advance next tax return next year automatically go owe 200 come tax season
politics war economy health etc ,1,roy blunt,poltifact,tax code nearly double since 1985
politics war economy health etc ,0,viral image,poltifact,un cultural agency remove birthplace jesus list heritage site
politics war economy health etc ,0,phil berger,poltifact,say republican legislator north carolina raise average teacher pay 15 percent three year
politics war economy health etc ,0,kendrick meek,poltifact,governor switch position offshore oil drilling
politics war economy health etc ,0,turning point usa,poltifact,say nevada gov steve sisolak ban use anti malaria drug might help cure coronavirus
asian news,1,bbc,bbc,family prays man low iq set execute drug traffic case spark rare disquiet singapore death penalty largely uncontroversial
politics war economy health etc ,0,thom tillis,poltifact,one joe biden first act office send immigration bill congress grant mass amnesty illegal immigrant
business news,1,bbc,bbc,goldman sachs western union pull russia
politics war economy health etc ,1,senate democrats,poltifact,state budget include scholarship money minority student concession senate democrat support gop initiate transportation bill
politics war economy health etc ,1,senfronia thompson,poltifact,macy sent letter rick perry urge veto equal pay bill
politics war economy health etc ,1,facebook posts,poltifact,2019 coronavirus live hour air hour copper 24 hour cardboard day plastic stainless steel
covid19 news,1,bbc,bbc,uk covid inquiry draft term reference set probe look area include preparedness public health response pandemic
politics war economy health etc ,0,steve adler,poltifact,austin site first mass shoot country
indian news,1,the hindu,the hindu,srm varsity sign mou het vijayawadato facilitate staff training depth faculty training inner well workshop andhra pradesh campus srm unive
ukraine russia war,1,bbc,bbc,ireland military neutrality spark public debate russia invasion ukraine people question century old foreign policy principle
politics war economy health etc ,1,republican governors association,poltifact,barbara buono number trenton politician vote raise tax 154 time property tax 70 percent back 16 percent sale tax increase utility nursing home cell phone parking lot lottery win gym taxed architect corzine budget drove new jersey billion debt barbara buono number take new jersey backwards
indian fake news,0,times of india,times of india,fake alert video imam tawhidi share saudi crown prince talk kashmir
indian news,1,the hindu,the hindu,total 19 teacher retire teacher businessmen others arrest karnataka gowribidanur four car two bike 56 750 cash confiscate
politics war economy health etc ,0,tom barrett,poltifact,scott walker plan privatize state land want sell deer high bidder
ukraine russia war,1,bbc,bbc,raw recruit swap spreadsheet sniper rifle prepare defend kyiv ukraine new recruit must learn new way life fight
politics war economy health etc ,0,chris christie,poltifact,assembly democrat want raise gas tax billion say ground sweat twitch ugly cause keep say
politics war economy health etc ,1,scott walker,poltifact,despite rhetoric democrat politician people employ year point history wisconsin
politics news,1,nbc news,nbc news,biden address troop station poland inflection point president biden address military member station poland thanked service dedication president discuss world inflection point amid russian invasion ukraine
politics war economy health etc ,0,richard land,poltifact,rubio get experience obama
climate news,1,bbc,bbc,peatlands threaten toxic nitrogen rainwater gas pose threat kill critical specie northern ireland peatlands
politics war economy health etc ,0,david barton,poltifact,texas state rep dan branch jim pitt lieutenant house speaker joe straus help democrat ellen cohen republican challenger event district
asian news,1,bbc,bbc,hong kong zero covid policy threaten surge hong kong record 000 covid infection first time since pandemic begin
politics war economy health etc ,0,facebook posts,poltifact,say kobe bryant daughter gianna born aug 23
politics war economy health etc ,1,barry duval,poltifact,major oil produce nation world self impose ban export crude oil nation
covid19 news,1,bbc,bbc,austria germany decide ease covid rule country push compulsory vaccination decide lift restriction
asian news,1,bbc,bbc,hope fear afghan girl return school
politics war economy health etc ,0,donald trump,poltifact,anybody want test coronavirus get test
technology news,1,bbc,bbc,belfast trust investigates potential data breach hundred belfast health trust document discover desk bought member public
technology news,1,bbc,bbc,footballer josh cavallo come gay adelaide united footballer become current top flight male professional
politics war economy health etc ,0,donald trump,poltifact,secure community program 287 immigration program program work recklessly gutted obama administration
politics war economy health etc ,0,mitch mcconnell,poltifact,recent economic uptick appear coincide expectation new republican congress
politics war economy health etc ,0,debbie wasserman schultz,poltifact,say cnn wolf blitzer wrong say wealthy american pay tax already 50 percent american even pay federal income tax
politics war economy health etc ,0,gary peters,poltifact,say john james opposes abortion even refuse make exception woman life risk want make felony even case rape incest
politics war economy health etc ,0,kamala harris,poltifact,new propose state law voting mean go stand line hour water food
covid19 news,1,bbc,bbc,call contact trace system wound scottish conservative want test protect replace cheaper target system
politics war economy health etc ,0,steve latourette,poltifact,billion infrastructure investment 42 000 job create
business news,1,bbc,bbc,apple announces self service repair scheme
politics war economy health etc ,0,chain email,poltifact,member congress retire pay one term office
politics war economy health etc ,0,scott walker,poltifact,federal government renege medicaid payment wisconsin cause 240 million extra cost 2013 15 state budget
asian news,1,bbc,bbc,indian activist change face britain friend oil wheel indian independence challenged discrimination uk
politics war economy health etc ,0,joe defelice,poltifact,mayor really serious support philly schoolchildren handle city loom fiscal crisis could begin slash size administration already 45 percent large predecessor 40 percent costly
indian news,1,the hindu,the hindu,anbumani slam lpg cylinder price hike chennai
business news,1,bbc,bbc,former apprentice winner honour cover claude entertainment reporter
politics war economy health etc ,0,bloggers,poltifact,cdc stag escape monkey cover story release next bioweapon
politics war economy health etc ,0,scott wagner,poltifact,earth move closer sun every year know rotation earth move closer sun
politics war economy health etc ,1,amy klobuchar,poltifact,time 160 carve out filibuster
indian news,1,the hindu,the hindu,keam postpone thiruvananthapuram
politics war economy health etc ,0,one new jersey,poltifact,say new jersey nearly 200 000 job pre recession peak gov chris christie new jersey trail rest america come unemployment 12 consecutive month
politics war economy health etc ,1,peter kinder,poltifact,today govjaynixon overridden time previous governor mo history moleg
asian news,1,bbc,bbc,british hymn cause stir india india drop colonial era tune beating retreat celebration decolonise event
politics war economy health etc ,0,democratic party of oregon,poltifact,say bruce starr vote throw 000 oregonian unemployment
politics war economy health etc ,0,orrin hatch,poltifact,count illegal alien people qualify insurance people make 75 000 year leaf 15 million people uninsured
asian news,1,bbc,bbc,india report first omicron case health official say two patient new strain show mild symptom
politics war economy health etc ,0,cal cunningham,poltifact,say campaign accepted corporate pac money fund special interest
politics war economy health etc ,1,ted cruz,poltifact,say donald trump want keep big government charge federally own land
politics war economy health etc ,0,jon ossoff,poltifact,get five year experience national security staffer congress
politics war economy health etc ,0,facebook posts,poltifact,1963 bernie sander arrest throw egg black civil right protestors
politics war economy health etc ,0,barack obama,poltifact,say know vote hop pas quote live tv
climate news,1,bbc,bbc,cow rescue storm flood jet ski
politics war economy health etc ,0,charlotte nash,poltifact,best school united state
technology news,1,bbc,bbc,busking pocket money dm bieber newsbeat speaks sam tompkins journey hang hero justin bieber
indian news,1,the hindu,the hindu,prescribe uniform school violate fundamental right student can not object hc kv model dress code acceptable lead social separateness
climate news,1,bbc,bbc,uk must go faster insulate home climate bos cost heating rise expert say government help need insulate million home
technology news,1,bbc,bbc,tech could spot building work go wrong
politics war economy health etc ,0,steve stockman,poltifact,john cornyn back pal david dewhurst senate ted cruz
indian news,1,ndtv,ndtv,punjab chief minister bhagwant mann meet pm modi delhi punjab chief minister bhagwant mann met prime minister narendra modi wednesday first meeting sworn march 16
politics war economy health etc ,0,mike pence,poltifact,ohio due medicaid expansion nearly 60 000 disabled citizen stuck wait list leave without care need month even year
politics war economy health etc ,1,citizens for transportation mobility,poltifact,average atlanta resident spends extra 924 year additional gasoline waste time
politics war economy health etc ,0,sherri tenpenny,poltifact,covid 19 vaccine make people magnetize put key forehead stick put spoon fork stick
politics war economy health etc ,0,david lewis,poltifact,gov roy cooper file nearly one lawsuit month every single one attempt extend power
technology news,1,bbc,bbc,robot chef cook christmas dinner fancy cooking 25 december robotic chef might solution
politics war economy health etc ,1,richard durbin,poltifact,illinois suffer 652 overdose death 2014 40 percent associate heroin illinois ranked number one nation decline treatment capacity 2007 2012 ranked third bad country state fund treatment capacity
covid19 news,1,bbc,bbc,microcinema reopens two year pandemic revamp 25 seat bournemouth colosseum one country small cinema
climate news,1,bbc,bbc,sustainable fashion turn red carpet green hannah peel wore sustainable dress mercury award fashion industry change
politics war economy health etc ,0,facebook posts,poltifact,russia unveiled nuclear weapon satan capable destroy everything breathing world
politics war economy health etc ,0,charlie crist,poltifact,endorse federal stimulus bill
politics war economy health etc ,0,democratic party of wisconsin,poltifact,governor elect scott walker opposition high speed rail kill 13 000 wisconsin job
politics war economy health etc ,1,barack obama,poltifact,america one oil gas
politics war economy health etc ,0,bryan steil,poltifact,wisconsin coronavirus funding spent
indian news,1,the hindu,the hindu,karnataka condemns resolution mekedatu project karnataka assembly pas resolution urge centre clear dpr clearance project
politics war economy health etc ,1,ron shipman,poltifact,say georgia power customer pay 10 percent 15 percent national average electricity
politics war economy health etc ,1,barack obama,poltifact,united state one high corporate tax rate world
politics war economy health etc ,0,donald trump,poltifact,say republican pass veteran choice program 44 year try try pas one many many decade
politics war economy health etc ,1,bill nelson,poltifact,say actually write bipartisan law make illegal drill florida coast
politics war economy health etc ,0,american civil liberties union of florida,poltifact,13 000 floridian able vote governor tell
politics war economy health etc ,0,richard durbin,poltifact,current policy go reduce overall debt united state trillion next 10 year
indian news,1,the hindu,the hindu,vairamudi brahmotsava melkote 10 lakh devotee expect cm participate march 14 lay foundation stone various development work kiritadharana day
politics war economy health etc ,0,facebook posts,poltifact,boil orange peel wit cayenne pepper stand pot breathe steam mucus release yo nasal mucus problem virus life
politics war economy health etc ,0,naral pro choice america,poltifact,cory gardner get way well stock condom
covid19 news,1,bbc,bbc,bradford city fan offer covid jab pop clinic
politics war economy health etc ,0,chain email,poltifact,obama announces plan third term presidential run
politics war economy health etc ,0,facebook posts,poltifact,dominion representative gwinnett county improperly download election data manipulate data
indian fake news,0,times of india,times of india,fake alert 2015 khap order dalit sister share claim happen yogi government
climate news,1,bbc,bbc,happen cop day two biden anger u president hail progress cop26 say mistake china russia stay away
indian fake news,0,times of india,times of india,fact check whose photo pran indira gandhi amrita pritam
politics war economy health etc ,0,democratic senatorial campaign committee,poltifact,say michigan senate candidate terri lynn land say guarantee equal pay woman job men good idea
politics war economy health etc ,0,jeff dewit,poltifact,isi come mexico border
business news,1,bbc,bbc,pm must take action say quit pig farmer
politics war economy health etc ,0,paul soglin,poltifact,since scott walker take office 2011 60 000 new job create state 40 000 create madison madison area
indian news,1,the hindu,the hindu,iffk 2022 inspire real life struggle patriarchy hive screen world cinema category 26th iffk
politics war economy health etc ,0,louie gohmert,poltifact,solar panel farm cause hundred thousand bird hit magnify sun explode flame go bring nation
technology news,1,bbc,bbc,netflix pause future project russia u technology giant netflix oracle late move distance russia
politics war economy health etc ,0,bloggers,poltifact,say elizabeth warren ask mollie tibbetts murder say know hard family remember need focus real problem like illegal immigrant able see kid
politics war economy health etc ,1,john mccain,poltifact,five taliban detainee release guantanamo exchange capture army sgt bowe bergdahl hardest hard core high high risk people
politics war economy health etc ,0,phil gingrey,poltifact,last year health care reform bunch bureaucrat decide whether get care continue dialysis cancer chemotherapy
politics war economy health etc ,0,charlie crist,poltifact,cover florida thousand already enrol climb
ukraine russia war,1,bbc,bbc,asia divide russia sanction asian nation join western lead sanction make russia global trade
politics war economy health etc ,0,barney bishop,poltifact,evidence anywhere offshore drilling hurt tourism area allow
politics war economy health etc ,0,donald trump,poltifact,secure community program 287 immigration program program work recklessly gutted obama administration
business news,1,bbc,bbc,energy price cap fit purpose supplier
politics war economy health etc ,0,ezekiel emanuel,poltifact,insurance company make choice cancel change policy president
technology news,1,bbc,bbc,thrifty saver attempt spend january every year hashtag nospendjanuary see social medium literally people take
politics war economy health etc ,1,facebook posts,poltifact,federal law require people speak english naturalize american citizen
politics war economy health etc ,1,cory booker,poltifact,2017 marijuana possession arrest country violent crime combine
politics war economy health etc ,0,mitt romney,poltifact,lobbyist run campaign
politics war economy health etc ,0,jack kingston,poltifact,david perdue never vote republican primary name ballot
politics war economy health etc ,0,susana mendoza,poltifact,decide vote abolish death penalty state illinois
politics war economy health etc ,1,sarah palin,poltifact,spend three time entitlement debt service defense
politics war economy health etc ,0,u s  chamber of commerce,poltifact,say rep tammy baldwin candidate senate support raise tax 858 billion
politics war economy health etc ,0,black lives matter,poltifact,biden currently send military equipment neighborhood trump
politics war economy health etc ,0,gilberto hinojosa,poltifact,say large majority republican believe obama muslim born
asian news,1,bbc,bbc,china denies agent infiltrate uk parliament china say need buy influence mi5 say agent country infiltrate parliament
politics war economy health etc ,0,sheldon whitehouse,poltifact,put 47 billion revenue raise 10 year buffett rule infrastructure could create 611 000 infrastructure job
politics war economy health etc ,0,facebook posts,poltifact,say pelosi blackmail congress demand mail voting 2nd stimulus family
climate news,1,bbc,bbc,pope francis delivers message world leader climate
indian news,1,the hindu,the hindu,employment health worker litigation say cm chennai
politics war economy health etc ,0,facebook posts,poltifact,say kamala harris want eliminate beef
politics war economy health etc ,0,facebook posts,poltifact,say covid 19 vaccine prevent catch spread virus last month
politics war economy health etc ,1,dianne feinstein,poltifact,poll do year show less majority reinstate federal ban assault weapon
politics war economy health etc ,0,thenewyorkevening com,poltifact,donald trump dead fatal heart attack
politics war economy health etc ,1,facebook posts,poltifact,rep ilhan omar vote yes provide funding 11 first responder victim fund sen rand paul vote
politics war economy health etc ,0,viral image,poltifact,retire army sergeant face life prison kill two syrian refugee discover rap teenage daughter
politics war economy health etc ,0,reaganwasright,poltifact,president trump save christmas 13 million retiree
politics war economy health etc ,0,rand paul,poltifact,really propose phase aid israel past
politics war economy health etc ,0,bloggers,poltifact,italian parliament call arrest bill gate
politics war economy health etc ,1,bill de blasio,poltifact,donald trump plan cut federal funding sanctuary city decision supreme court president position cut funding across board specific matter hand
politics war economy health etc ,1,kevin dewine,poltifact,since 2009 ohio republican party make contact voter nearly million gop state organization nation
politics war economy health etc ,0,viral image,poltifact,old image show drug store marijuana leaf sign
politics war economy health etc ,0,social media,poltifact,say melania trump security detail trump tower cost annual budget national endowment art
politics war economy health etc ,1,earl blumenauer,poltifact,marijuana less addictive alcohol tobacco
indian news,1,the hindu,the hindu,farmer demand statutory guarantee msp agricultural produce want state govt repeal amendment land reform act
politics war economy health etc ,1,scott walker,poltifact,graduation third grade reading score state since take office
politics war economy health etc ,0,tom price,poltifact,fiscal cliff deal increase spending
indian news,1,ndtv,ndtv,bjp leader slam arvind kejriwal punjab seek lakh crore centre aid bjp leader manjinder sirsa target delhi cm arvind kejriwal punjab chief minister bhagwant mann sought lakh crore financial package centre say party seek money freebie announce time state poll
politics war economy health etc ,1,bruce rauner,poltifact,family high property tax country must change
ukraine russia war,1,bbc,bbc,happen zelensky child hospital attack war crime ukraine official say strike destroyed maternity child ward report many dead injured
technology news,1,bbc,bbc,tech tent theranos change silicon valley elizabeth holmes defraud investor could scandal usher change silicon valley
politics war economy health etc ,0,sylvester turner,poltifact,focus much especially texas department transportation 97 percent people single occupancy vehicle
politics war economy health etc ,0,winning our future,poltifact,mitt romney bain capital profit kb toy later go business described boston herald disgust
politics war economy health etc ,0,gilberto hinojosa,poltifact,platform republican party say deport everybody hell
covid19 news,1,bbc,bbc,peak rail service return pre covid level leisure travel rather commute focus 150 new service scotrail timetable
politics war economy health etc ,0,mitt romney,poltifact,say texas unemployment rate double rick perry watch
politics war economy health etc ,0,facebook posts,poltifact,1950 corporation paid tax every worker today pay 22 cent every worker
politics war economy health etc ,0,donald trump,poltifact,say joe biden effectively order shutdown ice halt virtually deportation everyone murderer everybody
politics war economy health etc ,0,howard dean,poltifact,really great program american history social security do without republican medicare do without republican support last vote realize get board
politics war economy health etc ,0,hillary clinton,poltifact,candidate stood community immigration reform begin
politics war economy health etc ,0,facebook posts,poltifact,gate foundation stand make nearly 31 billion coronavirus vaccine
politics war economy health etc ,0,scott jones,poltifact,paid protester involve stephon clark demonstration
politics war economy health etc ,0,trevor noah,poltifact,iowa republican caucus stop matter year ago way determines party nominee
indian fake news,0,times of india,times of india,fake alert photo rahul gandhi din pakistan pm imran khan digitally manipulate
politics war economy health etc ,0,gavin newsom,poltifact,far 2015 mass shooting day
politics war economy health etc ,1,bill clinton,poltifact,obama spent 40 percent pac money 43 percent exact iowa new hampshire nevada south carolina politician
politics war economy health etc ,0,facebook posts,poltifact,say bill gate provide money 500k car phone visa gift email
ukraine russia war,1,bbc,bbc,british firefighter take fire engine ukraine convoy vehicle due arrive poland donate fire crew border
politics war economy health etc ,1,rob portman,poltifact,16 trillion national debt bill would cover entire state ohio nearly time
politics war economy health etc ,0,greg abbott,poltifact,say crime rise austin new study show city america year year percentage increase murder percentage increase 64 first half year
technology news,1,bbc,bbc,megan thee stallion sue label album dispute rapper want late release recognise album
politics war economy health etc ,1,joe lieberman,poltifact,president barack obama legal authority strike syria without vote congress
politics war economy health etc ,1,charlotte nash,poltifact,annual water usage 2010 actually 18 percent usage 2006
politics war economy health etc ,0,bloggers,poltifact,pelosi secret overseas mission include 93 family member
politics war economy health etc ,0,donald trump,poltifact,say president barack obama recent new york fundraise trip cost 25 million 50 million
politics war economy health etc ,0,bloggers,poltifact,say elizabeth warren paid 400 000 teach one class
politics war economy health etc ,0,barbara comstock,poltifact,obamacare already cause million hardworking virginian lose health insurance
politics war economy health etc ,0,david willis,poltifact,zero student staff anyone related school system union county hospitalize covid 19 despite harsh criticism school covid policy
politics war economy health etc ,0,chris christie,poltifact,say national heath care reform government takeover health care
politics war economy health etc ,0,vote no on 2,poltifact,local option allow community ban limit restrict location pot shop amendment pass expect seedy element pot industry move right next door neighborhood church business even child school
politics war economy health etc ,0,viral image,poltifact,antifa flyer encourages activist disguise patriot trump supporter nov
politics war economy health etc ,0,bloggers,poltifact,say elizabeth warren ask mollie tibbetts murder say know hard family remember need focus real problem like illegal immigrant able see kid
ukraine russia war,1,bbc,bbc,child kill russian shell block flat say ukraine
politics war economy health etc ,1,lynn westmoreland,poltifact,return money every year since take office
climate news,1,bbc,bbc,electric taxi trialled bid cut carbon taxi firm school denbighshire trialling energy save measure cut carbon emission
politics war economy health etc ,0,buzzfeed,poltifact,providence illegal sell toothpaste toothbrush customer sunday
business news,1,bbc,bbc,online giant warns christmas product shortage
politics war economy health etc ,0,lauren kane,poltifact,prosecution state sen balfour cost less 100 exclude prosecutor salary
politics war economy health etc ,0,florida democratic party,poltifact,congressman mccollum vote dismantle social security
politics war economy health etc ,0,donald trump jr ,poltifact,see nazi platform early 1930s look compare democratic party platform today say man thing awfully similar
politics war economy health etc ,0,steve doocy,poltifact,white house political director patrick gaspard serve right hand man bertha lewis head acorn
business news,1,bbc,bbc,beach accuses ryanair market abuse
politics war economy health etc ,1,johnny isakson,poltifact,000 veteran year commit suicide serious problem
politics war economy health etc ,0,terry mcauliffe,poltifact,say ken cuccinelli support law could allow people carry missile launcher airport
politics war economy health etc ,0,scott manley,poltifact,nobody health risk right pfas contamination long receive bottle drinking water
politics war economy health etc ,1,roy cooper,poltifact,people pretend someone else go vote see kind fraud
technology news,1,bbc,bbc,ai space tech help farmer see field cornish start develops technique make cloud free view uk satellite image
politics war economy health etc ,1,david zuckerman,poltifact,go cut school go cut teacher educator school
asian news,1,bbc,bbc,stop malicious hype peng shuai case china question remain tennis star wellbeing china insists diplomatic matter
politics war economy health etc ,0,priorities usa action,poltifact,say romney want take away early childhood education slash 12 funding cut college aid pay 250 000 tax break multi millionaire
politics war economy health etc ,0,viral image,poltifact,video show china launch artificial sun space
politics war economy health etc ,1,battleground texas,poltifact,say dan patrick call immigration texas invasion say immigrant come texas bring third world disease
politics war economy health etc ,0,mitt romney,poltifact,say poll found republican candidate could beat barack obama texas eight point
politics war economy health etc ,0,joe biden,poltifact,bulk people shot weapon drug gang take one another end shot weapon
politics war economy health etc ,0,rush limbaugh,poltifact,say medium create term polar vortex cold air prof ice melt
politics war economy health etc ,1,peter roskam,poltifact,worldwide credit card transaction credit card fraud rate 04 percent compare almost percent percent 10 percent medicare fraud
politics war economy health etc ,1,hillary clinton,poltifact,put lid iran nuclear program without fire single shot
politics war economy health etc ,1,barack obama,poltifact,wide majority nra household support legislation gun background check
politics war economy health etc ,0,roger roth,poltifact,lame duck session power take away governor power take away attorney general
politics war economy health etc ,1,david mckinley,poltifact,overdose death wv 45 prior year
indian news,1,the hindu,the hindu,60 take pledge donate eye belagavi
politics war economy health etc ,0,facebook posts,poltifact,1913 legal mail child
ukraine russia war,1,bbc,bbc,want family british resident ukrainian family say become stuck endless visa bureaucracy
politics war economy health etc ,1,barack obama,poltifact,ronald reagan met gorbachev kennedy met khruschev nixon met mao folk do horrendous damage country country
indian news,1,the hindu,the hindu,platform help firm raise capital chennai
politics war economy health etc ,0,ron johnson,poltifact,violence senate side term chamber
politics war economy health etc ,0,jim jordan,poltifact,federal state local government subsidize production volt tune estimate 50 000 250 000 per vehicle sell
politics war economy health etc ,0,ted cruz,poltifact,david dewhurst record promote income tax
politics war economy health etc ,0,facebook posts,poltifact,missile launch american force iraq iran fund barack obama american tax dollar
politics war economy health etc ,0,facebook posts,poltifact,say joe biden want put annual federal tax home
ukraine russia war,1,bbc,bbc,pm defends ukraine refugee response criticism boris johnson say uk generous face call help people flee
indian news,1,ndtv,ndtv,17 housing project get notice violation norm gurugram department town country planning serve show cause notice 17 real estate developer partially allow people live respective project gurugram without get occupancy certificate
politics war economy health etc ,1,frank guinta,poltifact,50 000 every child owes today washington politician run huge spending tab left kid bill
politics war economy health etc ,0,terri bryant,poltifact,may 55 year old illinois citizen eligible medicaid undocumented immigrant 55 old eligible medicaid
indian news,1,the hindu,the hindu,vros accommodate department hyderabad
indian news,1,the hindu,the hindu,six get new lease life brain dead man organ heart beat belagavi kidney hubballi dharwad liver bengaluru eye give light two
politics war economy health etc ,0,democratic congressional campaign committee,poltifact,say republican reid ribble say stimulus bill fail jumpstart economy roof company make almost 300 000 stimulus fund project
politics war economy health etc ,0,nathan deal,poltifact,say restore georgia pre 180 day program real result leadership
politics war economy health etc ,0,tom cotton,poltifact,health care marketplace privacy protection
politics war economy health etc ,0,florida democratic party,poltifact,say gov rick scott end 20 million funding mental health care despite florida already rank bottom
climate news,1,bbc,bbc,water cop26 deal delhi choke india water deal cut reliance coal even capital delhi reel toxic air quality
ukraine russia war,1,bbc,bbc,satellite image access change view war unprecedented supply image give unique overview event unfold ground
asian news,1,bbc,bbc,japan go vaccine hesitancy success unexpectedly rapid turnaround attitude allow vaccination rate skyrocket japan
technology news,1,bbc,bbc,villager voice anger four week internet outage high wind storm eunice damage cable ashburnham yet repair
politics war economy health etc ,0,charlie crist,poltifact,say marco rubio sell home chiropractor lobbying automobile insurance legislation sell home 380 000 cash speaker position issue change
politics war economy health etc ,1,west virginia republican party,poltifact,middle class income rise record level 2017 strong economy lift fortune american
politics war economy health etc ,1,bill kristol,poltifact,twenty percent electricity currently come nuclear power plant think 104 united state two around coast california
politics war economy health etc ,0,carlos gimenez,poltifact,miami dolphin nfl team entire nation pay property tax
politics war economy health etc ,0,keep conservatives united,poltifact,say rick perry spending money state take cover deficit record borrowing
technology news,1,bbc,bbc,smart clever return dumbphones sale basic mobile phone without apps internet connection increase
politics war economy health etc ,0,donald trump,poltifact,system vet refugee middle east
climate news,1,bbc,bbc,coal power station go green new owner
technology news,1,bbc,bbc,cryptocurrency worth 4m return scam victim 4m cryptocurrency return 23 people fell victim fake trading scam
politics war economy health etc ,0,the agenda project,poltifact,paul ryan budget proposal would leave country without medicare
technology news,1,bbc,bbc,influencers australia risk jail money tip watchdog country reminds may need licence give financial advice follower
politics war economy health etc ,0,mike shields,poltifact,say democrat issue subpoena pass bill
politics war economy health etc ,1,peter king,poltifact,house vote engagement kosovo bill clinton kept fight anyway ultimately vote pas
politics war economy health etc ,0,orrin hatch,poltifact,senate health care bill longer tolstoy war peace
politics war economy health etc ,0,facebook posts,poltifact,43 percent food stamp give illegals
security,1,the wire,the wire,nsg head constable shoot haryana manesar police
covid19 news,1,bbc,bbc,school pupil told keep wear face covering department education say guidance remains unchanged despite change elsewhere
politics war economy health etc ,1,nicholas kristof,poltifact,liberia produce less one third much electricity dallas cowboy football stadium consumes peak time
politics war economy health etc ,0,eric hovde,poltifact,since president barack obama take office 700 employee department transportation earn 170 000
indian news,1,the hindu,the hindu,man cross track run train bengaluru
politics war economy health etc ,0,jason isaac,poltifact,say past 20 year texas public school spending rise 142 percent per pupil spending triple adjust inflation
politics war economy health etc ,1,david plouffe,poltifact,gov romney clear would veto dream act
politics war economy health etc ,1,jacky rosen,poltifact,say danny tarkanian want defund plan parenthood would outlaw woman right choose even case rape incest
politics war economy health etc ,0,facebook posts,poltifact,cnn lighten photo man drove protester last night seattle
politics war economy health etc ,0,jeff sessions,poltifact,immigration bill specific provision say secretary napolitano build fence chooses
indian news,1,the hindu,the hindu,bombay high court seek ed response anil deshmukh bail plea bench adjourns hearing april
politics war economy health etc ,0,facebook posts,poltifact,photo show paleontologist greece discover skeleton giant
politics war economy health etc ,1,judd gregg,poltifact,law clear monies recouped tarp shall paid general fund treasury reduction public debt
politics war economy health etc ,1,jason stanford,poltifact,texas bad voter participation country november 2014 election
politics war economy health etc ,1,steny hoyer,poltifact,majority american people vote democratic house
politics war economy health etc ,0,barack obama,poltifact,health care bill cut deficit trillion dollar
asian news,1,bbc,bbc,india tennis star sania mirza announces retirement sania mirza former wimbledon double champion one india celebrate sport star
politics war economy health etc ,0,nicholas mattiello,poltifact,pell bridge tourism bridge essentially commuter bridge
politics war economy health etc ,0,claudia tenney,poltifact,many people commit mass murder end democrat
politics war economy health etc ,0,kendall scudder,poltifact,bob hall never successfully pass bill
